Study,Species,Age\Sex\Size_of_Predator,Sample_size,Sample_type,State\Province,Subregion,Region_code,Year_Start,Year_End,Months,Reference,Diet_data,Age\Size_of_prey,N_prey_items ,Count_type_(FO=frequency_of_occurrence\SSFO=split_sample_frequency_of_occurence\V=volume\M=model\O=feeding event\C=number_count),Percent_salmon,95_Percent_CIs,Percent_chinook ,95_ Percent_CIs,Anecdotal_chinook_abundance(if_species_mentioned\chinook_column_blank),Citation,URL,Comment,Double_count_(RefStudyNum(\s) 
70,Harbor Seal,M\ F,601,scat sample,Washington,Puget Sound (Hood Canal),D,1998,1998,year,Scordino 2010,scat sample,,,FO,26.0,,,,Overall 16% of salmonid remains were chinook in hood canal,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p5- WDFW data on 5 rivermouth sites in Hood Canal. Site-specific data available in report.  DNA analysis for salmonid species identification on 393 salmon bones from 339 different scat samples collected from 1999 to 2001...292 bones (74percent) were successfully identified to species...salmonid remains were identified as chum salmon -51percent\ coho salmon - 22percent\ Chinook salmon - 16percent\ pink salmon - 5percent\ and cutthroat trout - 6percent,71
71,Harbor Seal,M\ F,197,scat sample,Washington,Puget Sound (Hood Canal),D,1999,1999,3--6,Scordino 2010,scat sample,,,FO,16.0,,,,Overall 16% of salmonid remains were chinook in hood canal,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p5- WDFW data on 5 rivermouth sites in Hood Canal. Site-specific data available in report.  DNA analysis for salmonid species identification on 393 salmon bones from 339 different scat samples collected from 1999 to 2001...292 bones (74percent) were successfully identified to species...salmonid remains were identified as chum salmon -51percent\ coho salmon - 22percent\ Chinook salmon - 16percent\ pink salmon - 5percent\ and cutthroat trout - 6percent,70
71,Harbor Seal,M\ F,411,scat sample,Washington,Puget Sound (Hood Canal),D,1999,1999,7--12,Scordino 2010,scat sample,,,FO,29.0,,,,Overall 16% of salmonid remains were chinook in hood canal,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p5-6- WDFW data on 5 rivermouth sites in Hood Canal. Site-specific data available in report.  DNA analysis for salmonid species identification on 393 salmon bones from 339 different scat samples collected from 1999 to 2001...292 bones (74percent) were successfully identified to species...salmonid remains were identified as chum salmon -51percent\ coho salmon - 22percent\ Chinook salmon - 16percent\ pink salmon - 5percent\ and cutthroat trout - 6percent,70
71,Harbor Seal,M\ F,608,scat sample,Washington,Puget Sound (Hood Canal),D,2000,2000,7--12,Scordino 2010,scat sample,,,FO,27.0,,,,Overall 16% of salmonid remains were chinook in hood canal,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p6- WDFW data on 5 rivermouth sites in Hood Canal. Site-specific data available in report.  DNA analysis for salmonid species identification on 393 salmon bones from 339 different scat samples collected from 1999 to 2001...292 bones (74percent) were successfully identified to species...salmonid remains were identified as chum salmon -51percent\ coho salmon - 22percent\ Chinook salmon - 16percent\ pink salmon - 5percent\ and cutthroat trout - 6percent,70
71,Harbor Seal,M\ F,424,scat sample,Washington,Puget Sound (Hood Canal),D,2001,2001,8--11,Scordino 2010,scat sample,,,FO,35.0,,,,Overall 16% of salmonid remains were chinook in hood canal,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p6- WDFW data on 5 rivermouth sites in Hood Canal. Site-specific data available in report.  DNA analysis for salmonid species identification on 393 salmon bones from 339 different scat samples collected from 1999 to 2001...292 bones (74percent) were successfully identified to species...salmonid remains were identified as chum salmon -51percent\ coho salmon - 22percent\ Chinook salmon - 16percent\ pink salmon - 5percent\ and cutthroat trout - 6percent,70
71,Harbor Seal,M\ F,120,scat sample,Washington,Puget Sound (Hood Canal),D,2003,2003,8--10,Scordino 2010,scat sample,,,FO,24.0,,,,Overall 16% of salmonid remains were chinook in hood canal,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p6- WDFW data on 5 rivermouth sites in Hood Canal. Site-specific data available in report.  DNA analysis for salmonid species identification on 393 salmon bones from 339 different scat samples collected from 1999 to 2001...292 bones (74percent) were successfully identified to species...salmonid remains were identified as chum salmon -51percent\ coho salmon - 22percent\ Chinook salmon - 16percent\ pink salmon - 5percent\ and cutthroat trout - 6percent,70
71,Harbor Seal,M\ F,170,scat sample,Washington,Puget Sound (Hood Canal),D,2004,2004,9--11,Scordino 2010,scat sample,,,FO,34.0,,,,Overall 16% of salmonid remains were chinook in hood canal,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p6- WDFW data on 5 rivermouth sites in Hood Canal. Site-specific data available in report.  DNA analysis for salmonid species identification on 393 salmon bones from 339 different scat samples collected from 1999 to 2001...292 bones (74percent) were successfully identified to species...salmonid remains were identified as chum salmon -51percent\ coho salmon - 22percent\ Chinook salmon - 16percent\ pink salmon - 5percent\ and cutthroat trout - 6percent,70
71,Harbor Seal,M\ F,205,scat sample,Washington,Puget Sound (Hood Canal),D,2005,2005,4--6,Scordino 2010,scat sample,,,FO,13.0,,,,Overall 16% of salmonid remains were chinook in hood canal,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p6- WDFW data on 5 rivermouth sites in Hood Canal. Site-specific data available in report.  DNA analysis for salmonid species identification on 393 salmon bones from 339 different scat samples collected from 1999 to 2001...292 bones (74percent) were successfully identified to species...salmonid remains were identified as chum salmon -51percent\ coho salmon - 22percent\ Chinook salmon - 16percent\ pink salmon - 5percent\ and cutthroat trout - 6percent,70
71,Harbor Seal,M\ F,244,scat sample,Washington,Puget Sound (Hood Canal),D,2005,2005,7--9,Scordino 2010,scat sample,,,FO,21.0,,,,Overall 16% of salmonid remains were chinook in hood canal,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p6- WDFW data on 5 rivermouth sites in Hood Canal. Site-specific data available in report.  DNA analysis for salmonid species identification on 393 salmon bones from 339 different scat samples collected from 1999 to 2001...292 bones (74percent) were successfully identified to species...salmonid remains were identified as chum salmon -51percent\ coho salmon - 22percent\ Chinook salmon - 16percent\ pink salmon - 5percent\ and cutthroat trout - 6percent,70
72,Harbor Seal,M\ F,384,scat sample,Oregon,Rogue river,B,1995,1996,4 (1995)--5 (1996),Scordino 2010,scat sample,,,FO,13.0,,,,chinook likely a moderately important prey item spring through fall,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p34- The month with the greatest frequency of occurrence of salmonids in the scat samples was October 1995 with 43percent of the scat containing salmonids.,
72,Harbor Seal,M\ F,331,scat sample,Oregon,Rogue river,B,1997,1997,9--11,Scordino 2010,scat sample,,,FO,15.0,,,,chinook likely a moderately important prey item spring through fall,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p34- Salmonid occurrence in the samples ranged from 10percent in September to 30percent in October to 4percent in November.,
72,Harbor Seal,M\ F,223,scat sample,Oregon,Rogue river,B,1998,1998,9--11,Scordino 2010,scat sample,,,FO,10.0,,,,chinook likely a moderately important prey item spring through fall,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p34- Salmonid occurrence in the samples ranged from 14percent in September to 8percent in October to 10percent in November.,
72,Harbor Seal,M\ F,233,scat sample,Oregon,Rogue river,B,1999,1999,9--11,Scordino 2010,scat sample,,,FO,11.0,,,,chinook likely a moderately important prey item spring through fall,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p34,
73,Harbor Seal,M\ F,509,scat sample,Washington,San Juan Islands,D,2005,2006,4--2,Scordino 2010,scat sample,,,FO,26.0,,,,chinook likely a moderately important prey item spring through fall,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p10- WDFW data on 18 sites in the San Juan Islands.,
73,Harbor Seal,M\ F,398,scat sample,Washington,San Juan Islands,D,2006,2007,4--2,Scordino 2010,scat sample,,,FO,19.0,,,,chinook likely a moderately important prey item spring through fall,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p11- WDFW data on 2 sites (Gertrude Island and Eagle Island) in Southern Puget Sound .,
74,Harbor Seal,M\ F,173,scat sample,California,San Lorenzo river,A,1998,2000,10--4,Scordino 2010,scat sample,,,FO,2.0,,,,chinook not likely an important prey ,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p45,
75,Harbor Seal,M\ F,47,scat sample,California,Smith river,B,1999,1999,8--12,Scordino 2010,scat sample,,,FO,2.1,,,,chinook likely a moderately important prey item spring through fall,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p36,
75,Harbor Seal,M\ F,74,scat sample,California,Smith river,B,2001,2001,1--4,Scordino 2010,scat sample,,,FO,10.0,,,,chinook likely a moderately important prey item spring through fall,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p36,
76,Harbor Seal,M\ F,314,scat sample,Washington,Southern Puget Sound,D,1995,2004,10 (1995)\4--5 (1997)\6--8 (1997)\10--12 (1997)\9 (2004),Scordino 2010,scat sample,,,FO,13.0,,,,chinook likely a moderately important prey item spring through fall,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p11- WDFW data on 18 sites in the San Juan Islands.,
77,Harbor Seal,M\ F,651,scat sample,Oregon,Umpqua river ,B,1997,1998,9--11 (1997)\ 3--6 (1998)\ 8--10 (1998),Orr et al. 2004,scat sample,,,FO,6.0,,2.9,,,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,"In text: p32- see ""Genetic analysis…""",
78,Steller Sea lion,M\ F,12,scat sample,Oregon,Columbia River (Dodson RM 140),C,2007,2007,2--3,Scordino 2010,scat sample,,,FO,25.0,,,,chinook are probably consumed significantly in spring and fall,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p22,
79,Steller Sea lion,M\ F,124,scat sample,Washington,NW Olympic Peninsula (Ozette river\lake),C,1998,1998,5--7,Scordino 2010,scat sample,,,FO,2.0,,1.0,,,Scordino  J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.,http://www.psmfc.org/wp-content/uploads/2012/01/expand_pinniped_report_2010.pdf,In text: p13-14- NMML data on 4 sites (West Bodelteh Island\ Sea Lion Rock\ Carroll Island and Tatoosh Island) at Ozette lake\river.,
80,Harbor Seal,M\ F,315,scat sample,Oregon,Columbia River,C,1995,1997,3--5,Browne et al. 2002,scat sample,Adult salmonid (500-2800g),1298,FO,6.0,,,,Most salmonids consumed in spring were juvenile chinook,Browne  P.  Laake  J. L.  and DeLong  R. L. (2002). Improving pinniped diet analyses through identification of multiple skeletal structures in fecal samples.Fishery Bulletin  100(3)  423-433.,http://fishbull.noaa.gov/1003/04browne.pdf,Adult salmonids- Table 2 (seasonal sample size)- Table 3 prey FO and Minimum Number of Individuals (MNI  entered here in # prey items column) ,
80,Harbor Seal,M\ F,315,scat sample,Oregon,Columbia River,C,1995,1997,3--5,Browne et al. 2002,scat sample,Juvenile (200-500g),1298,FO,19.0,,,,Most salmonids consumed in spring were juvenile chinook,Browne  P.  Laake  J. L.  and DeLong  R. L. (2002). Improving pinniped diet analyses through identification of multiple skeletal structures in fecal samples.Fishery Bulletin  100(3)  423-433.,http://fishbull.noaa.gov/1003/04browne.pdf,Juvenile salmonids- Table 2 (seasonal sample size)- Table 3 prey FO and Minimum Number of Individuals (MNI  entered here in # prey items column) ,
80,Harbor Seal,M\ F,578,scat sample,Oregon,Columbia River,C,1995,1997,5--7,Browne et al. 2002,scat sample,Adult salmonid (500-2800g),2024,FO,4.0,,,,Most salmonids consumed in spring were juvenile chinook,Browne  P.  Laake  J. L.  and DeLong  R. L. (2002). Improving pinniped diet analyses through identification of multiple skeletal structures in fecal samples.Fishery Bulletin  100(3)  423-433.,http://fishbull.noaa.gov/1003/04browne.pdf,Adult salmonids- Table 2 (seasonal sample size)- Table 3 prey FO and Minimum Number of Individuals (MNI  entered here in # prey items column) ,
80,Harbor Seal,M\ F,578,scat sample,Oregon,Columbia River,C,1995,1997,5--7,Browne et al. 2002,scat sample,Juvenile (200-500g),2024,FO,5.0,,,,Most salmonids consumed in spring were juvenile chinook,Browne  P.  Laake  J. L.  and DeLong  R. L. (2002). Improving pinniped diet analyses through identification of multiple skeletal structures in fecal samples.Fishery Bulletin  100(3)  423-433.,http://fishbull.noaa.gov/1003/04browne.pdf,Juvenile salmonids- Table 2 (seasonal sample size)- Table 3 prey FO and Minimum Number of Individuals (MNI  entered here in # prey items column) ,
80,Harbor Seal,M\ F,492,scat sample,Oregon,Columbia River,C,1996,1997,7--10,Browne et al. 2002,scat sample,Juvenile (200-500g),2425,FO,5.0,,,,Chinook (mostly adult) probably make up nearly 50 percent of salmonid consumption in fall,Browne  P.  Laake  J. L.  and DeLong  R. L. (2002). Improving pinniped diet analyses through identification of multiple skeletal structures in fecal samples.Fishery Bulletin  100(3)  423-433.,http://fishbull.noaa.gov/1003/04browne.pdf,Juvenile salmonids- Table 2 (seasonal sample size)- Table 3 prey FO and Minimum Number of Individuals (MNI  entered here in # prey items column) ,
80,Harbor Seal,M\ F,492,scat sample,Oregon,Columbia River,C,1996,1997,7--10,Browne et al. 2002,scat sample,Adult salmonid (500-2800g),2425,FO,10.0,,,,Chinook (mostly adult) probably make up nearly 50 percent of salmonid consumption in fall,Browne  P.  Laake  J. L.  and DeLong  R. L. (2002). Improving pinniped diet analyses through identification of multiple skeletal structures in fecal samples.Fishery Bulletin  100(3)  423-433.,http://fishbull.noaa.gov/1003/04browne.pdf,Adult salmonids- Table 2 (seasonal sample size)- Table 3 prey FO and Minimum Number of Individuals (MNI  entered here in # prey items column) ,
81,Harbor Seal,M\ F,269,stomach sample,Alaska,Gulf of Alaska,G,1973,1978,year,Pitcher 1980,stomach sample content,,451,FO,2.0,1.4,,,,Pitcher  K. W. (1980). FOOD OF THE HARBOR SEAL  PHOCA-VITULINA-RICHARDSI  IN THE GULF OF ALASKA. Fishery Bulletin  78(2)  544-549.,http://fishbull.noaa.gov/78-2/pitcher.pdf,Table 2\ FO for Oregon\ N. CA coast by total samples seasons and sites combined\ total sites combined by season (breeding or non-breeding)\ and site-season specific sampling- 95percent confidence intervals are graphically represented in Figure 2.,
82,Steller Sea lion,M\ F,417,scat sample,Oregon\CA (one site near OR border),N to S coast combined (5) sites,B,1986,2007,9--4,Riemer et al. 2011,scat sample,,,FO,32.1,,,,,Riemer  S. D.  Wright  B. E.  and Brown  R. F. (2011). Food habits of Steller sea lions (Eumetopias jubatus) off Oregon and northern California  1986–2007.Fishery Bulletin  109(4)  369-381.,http://fishbull.noaa.gov/1094/1094riemer.pdf,Table 2\ FO for Oregon\ N. CA coast by total samples seasons and sites combined\ total sites combined by season (breeding or non-breeding)\ and site-season specific sampling- 95percent confidence intervals are graphically represented in Figure 2.,83
82,Steller Sea lion,M\ F,966,scat sample,Oregon\CA (one site near OR border),N to S coast combined (5) sites,B,1986,2007,5--8,Riemer et al. 2011,scat sample,,,FO,27.1,,,,,Riemer  S. D.  Wright  B. E.  and Brown  R. F. (2011). Food habits of Steller sea lions (Eumetopias jubatus) off Oregon and northern California  1986–2007.Fishery Bulletin  109(4)  369-381.,http://fishbull.noaa.gov/1094/1094riemer.pdf,Table 2\ FO for Oregon\ N. CA coast by total samples seasons and sites combined\ total sites combined by season (breeding or non-breeding)\ and site-season specific sampling- 95percent confidence intervals are graphically represented in Figure 2.,83
82,Steller Sea lion,M\ F,1383,scat sample,Oregon\CA (one site near OR border),N to S coast combined (5) sites,B,1986,2007,5--8\ 9--4,Riemer et al. 2011,scat sample,,,FO,28.6,,,,,Riemer  S. D.  Wright  B. E.  and Brown  R. F. (2011). Food habits of Steller sea lions (Eumetopias jubatus) off Oregon and northern California  1986–2007.Fishery Bulletin  109(4)  369-381.,http://fishbull.noaa.gov/1094/1094riemer.pdf,Table 2\ FO for Oregon\ N. CA coast by total samples seasons and sites combined\ total sites combined by season (breeding or non-breeding)\ and site-season specific sampling- 95percent confidence intervals are graphically represented in Figure 2.,83
83,Steller Sea lion,M\ F,7,scat sample,California,North coast (St. George Reef),B,1986,2007,9--4,Riemer et al. 2011,scat sample,,,FO,14.3,,,,,Riemer  S. D.  Wright  B. E.  and Brown  R. F. (2011). Food habits of Steller sea lions (Eumetopias jubatus) off Oregon and northern California  1986–2007.Fishery Bulletin  109(4)  369-381.,http://fishbull.noaa.gov/1094/1094riemer.pdf,Table 2\ FO for Oregon\ N. CA coast by total samples seasons and sites combined\ total sites combined by season (breeding or non-breeding)\ and site-season specific sampling- 95percent confidence intervals are graphically represented in Figure 2.,82
83,Steller Sea lion,M\ F,165,scat sample,California,North coast (St. George Reef),B,1986,2007,5--8,Riemer et al. 2011,scat sample,,,FO,26.7,,,,,Riemer  S. D.  Wright  B. E.  and Brown  R. F. (2011). Food habits of Steller sea lions (Eumetopias jubatus) off Oregon and northern California  1986–2007.Fishery Bulletin  109(4)  369-381.,http://fishbull.noaa.gov/1094/1094riemer.pdf,Table 2\ FO for Oregon\ N. CA coast by total samples seasons and sites combined\ total sites combined by season (breeding or non-breeding)\ and site-season specific sampling- 95percent confidence intervals are graphically represented in Figure 2.,82
83,Steller Sea lion,M\ F,24,scat sample,Oregon,North coast (Cascade Head),B,1986,2007,9--4,Riemer et al. 2011,scat sample,,,FO,4.2,,,,,Riemer  S. D.  Wright  B. E.  and Brown  R. F. (2011). Food habits of Steller sea lions (Eumetopias jubatus) off Oregon and northern California  1986–2007.Fishery Bulletin  109(4)  369-381.,http://fishbull.noaa.gov/1094/1094riemer.pdf,Table 2\ FO for Oregon\ N. CA coast by total samples seasons and sites combined\ total sites combined by season (breeding or non-breeding)\ and site-season specific sampling- 95percent confidence intervals are graphically represented in Figure 2.,82
83,Steller Sea lion,M\ F,56,scat sample,Oregon,South coast (Orford Reef),B,1986,2007,5--8,Riemer et al. 2011,scat sample,,,FO,21.4,,,,,Riemer  S. D.  Wright  B. E.  and Brown  R. F. (2011). Food habits of Steller sea lions (Eumetopias jubatus) off Oregon and northern California  1986–2007.Fishery Bulletin  109(4)  369-381.,http://fishbull.noaa.gov/1094/1094riemer.pdf,Table 2\ FO for Oregon\ N. CA coast by total samples seasons and sites combined\ total sites combined by season (breeding or non-breeding)\ and site-season specific sampling- 95percent confidence intervals are graphically represented in Figure 2.,82
83,Steller Sea lion,M\ F,290,scat sample,Oregon,South coast (Rogue Reef),B,1986,2007,9--4,Riemer et al. 2011,scat sample,,,FO,37.9,,,,,Riemer  S. D.  Wright  B. E.  and Brown  R. F. (2011). Food habits of Steller sea lions (Eumetopias jubatus) off Oregon and northern California  1986–2007.Fishery Bulletin  109(4)  369-381.,http://fishbull.noaa.gov/1094/1094riemer.pdf,Table 2\ FO for Oregon\ N. CA coast by total samples seasons and sites combined\ total sites combined by season (breeding or non-breeding)\ and site-season specific sampling- 95percent confidence intervals are graphically represented in Figure 2.,82
83,Steller Sea lion,M\ F,526,scat sample,Oregon,South coast (Rogue Reef),B,1986,2007,5--8,Riemer et al. 2011,scat sample,,,FO,27.6,,,,,Riemer  S. D.  Wright  B. E.  and Brown  R. F. (2011). Food habits of Steller sea lions (Eumetopias jubatus) off Oregon and northern California  1986–2007.Fishery Bulletin  109(4)  369-381.,http://fishbull.noaa.gov/1094/1094riemer.pdf,Table 2\ FO for Oregon\ N. CA coast by total samples seasons and sites combined\ total sites combined by season (breeding or non-breeding)\ and site-season specific sampling- 95percent confidence intervals are graphically represented in Figure 2.,82
83,Steller Sea lion,M\ F,96,scat sample,Oregon,North coast (Columbia river),C,1986,2007,9--4,Riemer et al. 2011,scat sample,,,FO,22.9,,,,,Riemer  S. D.  Wright  B. E.  and Brown  R. F. (2011). Food habits of Steller sea lions (Eumetopias jubatus) off Oregon and northern California  1986–2007.Fishery Bulletin  109(4)  369-381.,http://fishbull.noaa.gov/1094/1094riemer.pdf,Table 2\ FO for Oregon\ N. CA coast by total samples seasons and sites combined\ total sites combined by season (breeding or non-breeding)\ and site-season specific sampling- 95percent confidence intervals are graphically represented in Figure 2.,82
83,Steller Sea lion,M\ F,219,scat sample,Oregon,North coast (Columbia river),C,1986,2007,5--8,Riemer et al. 2011,scat sample,,,FO,27.9,,,,,Riemer  S. D.  Wright  B. E.  and Brown  R. F. (2011). Food habits of Steller sea lions (Eumetopias jubatus) off Oregon and northern California  1986–2007.Fishery Bulletin  109(4)  369-381.,http://fishbull.noaa.gov/1094/1094riemer.pdf,Table 2\ FO for Oregon\ N. CA coast by total samples seasons and sites combined\ total sites combined by season (breeding or non-breeding)\ and site-season specific sampling- 95percent confidence intervals are graphically represented in Figure 2.,82
84,Killer Whale,M\ F,38,feeding event,Alaska,Prince William Sound,G,1991,1996,summer,Saulitis et al. 2000,feeding event,,,FO,94.7,,,,"NOTE: "" Seasonal bias may account for the small number of chinook scales in our sample. Chinook salmon are rare in southwestern Prince William Sound during July and August\ when most of our scale samples were collected. The presence of any chinook salmon scales in this sample is therefore significant."" and ""...[in] May and June large runs of chinook salmon enter the Copper River Delta adjacent to Prince William Sound...""",Saulitis  E.  Matkin  C.  Barrett_Lennard  L.  Heise  K.  and Ellis  G. (2000). Foraging strategies of sympatric killer whale (Orcinus orca) populations in Prince William Sound  Alaska. Marine Mammal Science  16(1)  94-109.,http://www.researchgate.net/profile/Craig_Matkin/publication/227938654_FORAGING_STRATEGIES_OF_SYMPATRIC_KILLER_WHALE_(ORCINUS_ORCA)_POPULATIONS_IN_PRINCE_WILLIAM_SOUND_ALASKA/links/0a85e53447a09c5079000000.pdf,In text: p100-101,
85,Killer Whale,M\ F,63,Feeding event,Alaska,Prince William Sound,G,1991,1996,summer,Saulitis et al. 2000,scale ,,,FO,100.0,,3.2,,Chinook are rare during July and August when most scale samples were collected.  However there are large runs of chinook in May and June.,Saulitis  E.  Matkin  C.  Barrett_Lennard  L.  Heise  K.  and Ellis  G. (2000). Foraging strategies of sympatric killer whale (Orcinus orca) populations in Prince William Sound  Alaska. Marine Mammal Science  16(1)  94-109.,http://www.researchgate.net/profile/Craig_Matkin/publication/227938654_FORAGING_STRATEGIES_OF_SYMPATRIC_KILLER_WHALE_(ORCINUS_ORCA)_POPULATIONS_IN_PRINCE_WILLIAM_SOUND_ALASKA/links/0a85e53447a09c5079000000.pdf,"Table 4- NOTE: "" Seasonal bias may account for the small number of chinook scales in our sample. Chinook salmon are rare in southwestern Prince William Sound during July and August\ when most of our scale samples were collected. The presence of any chinook salmon scales in this sample is therefore significant."" and ""...[in] May and June large runs of chinook salmon enter the Copper River Delta adjacent to Prince William Sound...""",
86,Steller Sea lion,M\ F,1640,scat sample,Alaska,Frederick Sound (SE AK),F,2001,2004,5--4,Sigler et al. 2009,scat sample,31 ± 12 cm (salmon),14930,M (biomass reconstruction) ,7.3,,,,Chinook is primary salmonid consumed,Sigler  M. F.  Tollit  D. J.  Vollenweider  J. J.  Thedinga  J. F.  Csepp  D. J.  Womble  J. N.  ... and Trites  A. W. (2009). Steller sea lion foraging response to seasonal changes in prey availability.Marine Ecology Progress Series  388  243-261.,http://www.marinemammal.org/wp-content/pdfs/Sigler%20et%20al%202009.pdf,Table 2. biomass reconstruction model,87
87,Steller Sea lion,M\ F,1640,scat sample,Alaska,Frederick Sound (SE AK),F,2001,2004,5--4,Sigler et al. 2009,scat sample,31 ± 12 cm (salmon),14930,FO,12.0,,,,Chinook is primary salmonid consumed,Sigler  M. F.  Tollit  D. J.  Vollenweider  J. J.  Thedinga  J. F.  Csepp  D. J.  Womble  J. N.  ... and Trites  A. W. (2009). Steller sea lion foraging response to seasonal changes in prey availability.Marine Ecology Progress Series  388  243-261.,http://www.marinemammal.org/wp-content/pdfs/Sigler%20et%20al%202009.pdf,Table 2. FO,86
